Date,SP.rk
20000103,0.000160727
20000104,0.000264396
20000105,0.00030465
20000106,0.000148582
20000107,0.000123267
20000110,0.000130693
20000111,7.68E-05
20000112,0.000122201
20000113,0.000110056
20000114,0.000143639
20000117,
20000118,9.86E-05
20000119,5.25E-05
20000120,0.000120725
20000121,5.53E-05
20000124,0.000209122
20000125,0.00019254
20000126,6.81E-05
20000127,0.000186332
20000128,0.00030057
20000131,0.000217619
20000201,0.000104101
20000202,0.000131156
20000203,0.000169714
20000204,8.12E-05
20000207,6.75E-05
20000208,8.86E-05
20000209,0.000104041
20000210,0.000108531
20000211,0.00011269
20000214,9.86E-05
20000215,0.000130362
20000216,0.0001037
20000217,0.000201565
20000218,0.000179962
20000221,
20000222,0.000208231
20000223,0.000134655
20000224,0.000310427
20000225,0.000232435
20000228,0.000235077
20000229,0.000122817
20000301,0.000115907
20000302,0.000100256
20000303,0.00010638
20000306,6.85E-05
20000307,0.000268775
20000308,0.000173019
20000309,0.000113695
20000310,0.000132786
20000313,0.000462382
20000314,0.000168965
20000315,0.000244652
20000316,0.000271003
20000317,
20000320,0.000104184
20000321,0.000164423
20000322,7.99E-05
20000323,0.000129512
20000324,0.000177168
20000327,8.31E-05
20000328,
20000329,0.000167909
20000330,0.000289966
20000331,0.000237505
20000403,0.000249942
20000404,0.001276207
20000405,0.000489437
20000406,0.000191888
20000407,0.000110921
20000410,0.000109093
20000411,0.000244761
20000412,0.000151655
20000413,0.000402477
20000414,0.001124992
20000417,0.000696926
20000418,0.000275629
20000419,0.000169635
20000420,9.02E-05
20000421,
20000424,0.000473346
20000425,0.000165557
20000426,0.000114268
20000427,0.000417648
20000428,0.000140748
20000501,0.000115716
20000502,0.000108544
20000503,0.000237533
20000504,0.000138786
20000505,0.00013624
20000508,0.000129337
20000509,0.000137326
20000510,0.000258343
20000511,0.000158471
20000512,9.51E-05
20000515,9.12E-05
20000516,0.000175012
20000517,0.000171972
20000518,7.58E-05
20000519,0.000186649
20000522,0.000351716
20000523,0.000200943
20000524,0.000350346
20000525,0.000219564
20000526,0.000195842
20000529,
20000530,0.000151843
20000531,0.000162446
20000601,0.000101429
20000602,0.000171627
20000605,0.000101239
20000606,7.15E-05
20000607,7.54E-05
20000608,6.88E-05
20000609,6.86E-05
20000612,5.04E-05
20000613,9.07E-05
20000614,9.13E-05
20000615,8.10E-05
20000616,5.86E-05
20000619,6.00E-05
20000620,9.41E-05
20000621,8.04E-05
20000622,0.000100172
20000623,8.76E-05
20000626,7.49E-05
20000627,5.01E-05
20000628,6.67E-05
20000629,0.000125061
20000630,6.89E-05
20000703,
20000704,
20000705,6.91E-05
20000706,5.91E-05
20000707,5.17E-05
20000710,3.85E-05
20000711,8.54E-05
20000712,7.06E-05
20000713,4.20E-05
20000714,4.17E-05
20000717,2.88E-05
20000718,5.23E-05
20000719,4.74E-05
20000720,8.21E-05
20000721,4.20E-05
20000724,5.55E-05
20000725,9.04E-05
20000726,9.37E-05
20000727,0.000138255
20000728,0.000166545
20000731,0.000118369
20000801,7.80E-05
20000802,7.56E-05
20000803,0.000125517
20000804,9.06E-05
20000807,3.97E-05
20000808,3.92E-05
20000809,6.52E-05
20000810,4.45E-05
20000811,5.81E-05
20000814,3.56E-05
20000815,3.69E-05
20000816,4.12E-05
20000817,5.16E-05
20000818,3.26E-05
20000821,4.34E-05
20000822,3.61E-05
20000823,3.44E-05
20000824,2.60E-05
20000825,2.50E-05
20000828,3.05E-05
20000829,2.91E-05
20000830,2.67E-05
20000831,4.04E-05
20000901,7.53E-05
20000904,
20000905,4.41E-05
20000906,5.01E-05
20000907,4.24E-05
20000908,5.12E-05
20000911,7.90E-05
20000912,6.29E-05
20000913,0.000101948
20000914,5.90E-05
20000915,5.88E-05
20000918,8.48E-05
20000919,9.84E-05
20000920,0.00014177
20000921,0.000117936
20000922,0.00022232
20000925,7.71E-05
20000926,1.00E-04
20000927,0.00012053
20000928,8.17E-05
20000929,0.000119738
20001002,0.000115341
20001003,0.000127123
20001004,0.000195355
20001005,0.000100221
20001006,0.000196869
20001009,0.000117261
20001010,0.000175152
20001011,0.000416656
20001012,0.000557745
20001013,0.000183705
20001016,0.00010008
20001017,0.000155062
20001018,0.000669314
20001019,0.000287146
20001020,0.000103543
20001023,0.000109971
20001024,0.000145828
20001025,0.000225001
20001026,0.000330134
20001027,0.000232205
20001030,0.000136819
20001031,9.71E-05
20001101,0.000117344
20001102,8.85E-05
20001103,6.53E-05
20001106,3.81E-05
20001107,4.42E-05
20001108,0.000114991
20001109,0.000337484
20001110,0.000182079
20001113,0.000375997
20001114,0.000275867
20001115,0.000153545
20001116,0.000115597
20001117,0.000265804
20001120,0.000203815
20001121,0.00015079
20001122,0.00026924
20001123,
20001124,8.24E-05
20001127,0.000186451
20001128,0.000155169
20001129,0.000214492
20001130,0.000432559
20001201,0.000200859
20001204,0.000219853
20001205,0.000205353
20001206,0.000191244
20001207,8.69E-05
20001208,0.000215294
20001211,0.0001001
20001212,6.49E-05
20001213,0.000197982
20001214,0.000128556
20001215,0.000210082
20001218,0.000168799
20001219,0.00028949
20001220,0.000463368
20001221,0.000262423
20001222,0.000164483
20001225,
20001226,9.11E-05
20001227,9.23E-05
20001228,7.01E-05
20001229,8.13E-05
20010102,0.000184312
20010103,0.000908385
20010104,0.000158772
20010105,0.000305565
20010108,
20010109,0.000154806
20010110,0.000234294
20010111,7.91E-05
20010112,0.000140281
20010115,
20010116,8.97E-05
20010117,0.000167115
20010118,9.02E-05
20010119,0.000111431
20010122,0.000112113
20010123,7.22E-05
20010124,7.69E-05
20010125,8.38E-05
20010126,7.87E-05
20010129,4.79E-05
20010130,5.16E-05
20010131,0.000123228
20010201,6.75E-05
20010202,7.40E-05
20010205,6.05E-05
20010206,4.88E-05
20010207,9.03E-05
20010208,6.40E-05
20010209,7.03E-05
20010212,6.80E-05
20010213,7.39E-05
20010214,8.54E-05
20010215,7.55E-05
20010216,0.000245902
20010219,
20010220,8.96E-05
20010221,0.000155451
20010222,0.000420771
20010223,0.000358741
20010226,0.000150948
20010227,9.64E-05
20010228,0.000266172
20010301,0.000294355
20010302,0.000248026
20010305,8.56E-05
20010306,0.000164543
20010307,0.00011893
20010308,
20010309,0.000232077
20010312,0.000369143
20010313,0.000268896
20010314,0.000777681
20010315,0.000176754
20010316,0.000278361
20010319,0.00013086
20010320,0.000308461
20010321,
20010322,0.000635527
20010323,0.000312411
20010326,0.000200617
20010327,0.000158181
20010328,0.000303672
20010329,0.000265871
20010330,0.000232028
20010402,
20010403,0.000298072
20010404,0.000422852
20010405,0.000322003
20010406,0.000450341
20010409,0.000169563
20010410,0.000202406
20010411,0.000210451
20010412,0.000192715
20010413,
20010416,0.000117686
20010417,0.000214939
20010418,
20010419,0.000115282
20010420,0.000120002
20010423,0.000100217
20010424,9.91E-05
20010425,0.0001118
20010426,0.000102591
20010427,0.000121955
20010430,9.12E-05
20010501,0.000100148
20010502,0.000122986
20010503,0.000146945
20010504,0.000256377
20010507,8.87E-05
20010508,7.03E-05
20010509,0.000114623
20010510,0.000111682
20010511,8.16E-05
20010514,3.56E-05
20010515,9.74E-05
20010516,0.000126884
20010517,9.87E-05
20010518,6.26E-05
20010521,6.32E-05
20010522,7.39E-05
20010523,8.19E-05
20010524,7.93E-05
20010525,4.82E-05
20010528,
20010529,5.95E-05
20010530,8.16E-05
20010531,7.36E-05
20010601,9.66E-05
20010604,5.56E-05
20010605,5.34E-05
20010606,8.17E-05
20010607,6.68E-05
20010608,4.04E-05
20010611,4.18E-05
20010612,0.000116526
20010613,6.40E-05
20010614,8.39E-05
20010615,0.00016579
20010618,7.65E-05
20010619,0.000190612
20010620,0.000110774
20010621,8.56E-05
20010622,8.32E-05
20010625,6.56E-05
20010626,0.000124294
20010627,9.32E-05
20010628,0.000107834
20010629,5.82E-05
20010702,4.73E-05
20010703,2.21E-05
20010704,
20010705,5.54E-05
20010706,0.000110094
20010709,6.35E-05
20010710,6.83E-05
20010711,0.000146272
20010712,9.29E-05
20010713,6.27E-05
20010716,7.16E-05
20010717,8.10E-05
20010718,0.000128049
20010719,0.000130219
20010720,5.07E-05
20010723,9.68E-05
20010724,0.000116341
20010725,9.73E-05
20010726,8.62E-05
20010727,6.61E-05
20010730,5.18E-05
20010731,6.10E-05
20010801,5.19E-05
20010802,6.34E-05
20010803,7.59E-05
20010806,3.97E-05
20010807,4.38E-05
20010808,7.67E-05
20010809,0.000111309
20010810,0.000130098
20010813,4.65E-05
20010814,5.98E-05
20010815,7.43E-05
20010816,0.000116984
20010817,0.00010008
20010820,4.45E-05
20010821,
20010822,
20010823,3.44E-05
20010824,7.43E-05
20010827,4.82E-05
20010828,8.07E-05
20010829,9.21E-05
20010830,0.000141226
20010831,0.0001284
20010903,
20010904,0.000162384
20010905,0.000271699
20010906,0.000232885
20010907,0.00028024
20010910,4.78E-05
20010911,
20010912,
20010913,
20010914,
20010917,0.000443813
20010918,0.000110606
20010919,0.000451733
20010920,0.000439477
20010921,0.001163324
20010924,0.000535796
20010925,0.00020858
20010926,0.000131851
20010927,0.000177345
20010928,0.000181929
20011001,0.000115354
20011002,0.000120961
20011003,0.000236063
20011004,0.000228254
20011005,0.000188285
20011008,
20011009,9.43E-05
20011010,0.000122342
20011011,0.000157281
20011012,0.000338871
20011015,0.000121456
20011016,0.000122759
20011017,0.00025497
20011018,0.000127982
20011019,8.73E-05
20011022,0.000100262
20011023,0.000140077
20011024,
20011025,0.000245529
20011026,0.000137508
20011029,0.000124112
20011030,0.000187687
20011031,0.000170752
20011101,0.000202258
20011102,0.000139142
20011105,0.000131615
20011106,0.000130319
20011107,6.55E-05
20011108,0.000132249
20011109,0.000124608
20011112,0.000342426
20011113,0.000155951
20011114,5.60E-05
20011115,8.98E-05
20011116,6.85E-05
20011119,7.43E-05
20011120,6.30E-05
20011121,5.86E-05
20011122,
20011123,2.14E-05
20011126,6.17E-05
20011127,0.000146475
20011128,0.000117748
20011129,8.50E-05
20011130,4.78E-05
20011203,9.16E-05
20011204,5.87E-05
20011205,9.03E-05
20011206,6.02E-05
20011207,8.11E-05
20011210,6.97E-05
20011211,8.53E-05
20011212,8.52E-05
